<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220101;000000;46211.2400000;47967.1200000;46205.0000000;47733.4300000;9472
20220102;000000;47733.4300000;47990.0000000;46633.3600000;47299.0700000;6850
20220103;000000;47299.0600000;47583.3300000;45700.0000000;46459.5600000;10868
20220104;000000;46459.5700000;47532.8900000;45515.0000000;45814.6100000;16313
20220105;000000;45817.1300000;47076.5500000;42500.0000000;43436.0400000;25059
20220106;000000;43446.3400000;43794.5000000;42432.9900000;43083.7600000;20778
20220107;000000;43081.7900000;43144.7200000;40571.5300000;41565.1800000;26135
20220108;000000;41564.5700000;42318.9700000;40505.3000000;41684.8400000;15430
20220109;000000;41684.8400000;42831.1200000;41209.5300000;41876.5200000;11077
20220110;000000;41876.5200000;42250.0000000;39650.0000000;41824.0700000;25237
20220111;000000;41824.0600000;43130.0000000;41274.8000000;42753.4400000;19678
20220112;000000;42749.8400000;44342.8300000;42459.2100000;43920.3700000;16248
20220113;000000;43921.2100000;44453.2200000;42325.0000000;42581.6500000;14758
20220114;000000;42576.2700000;43473.9800000;41752.0000000;43090.7200000;13533
20220115;000000;43090.7200000;43819.3900000;42577.3500000;43098.2000000;6337
20220116;000000;43098.2000000;43497.2400000;42600.0000000;43104.3400000;6480
20220117;000000;43104.3400000;43200.0000000;41567.6400000;42218.0100000;10966
20220118;000000;42214.6600000;42692.7100000;41287.7900000;42369.7400000;13653
20220119;000000;42372.1500000;42586.0300000;41126.0000000;41674.2700000;15660
20220120;000000;41672.1400000;43511.9900000;40555.0000000;40670.9700000;17873
20220121;000000;40671.7700000;41127.7900000;35422.0000000;36456.9400000;50736
20220122;000000;36456.6700000;36835.9300000;34017.5600000;35066.4300000;30046
20220123;000000;35075.7000000;36555.5500000;34625.0000000;36282.4700000;17452
20220124;000000;36275.2800000;37574.6300000;32933.3300000;36693.3200000;38785
20220125;000000;36687.5800000;37579.8100000;35716.1500000;36980.0000000;21622
20220126;000000;36980.0000000;38960.0000000;36254.9700000;36840.6300000;27396
20220127;000000;36846.2200000;37249.0000000;35526.3600000;37188.3700000;23589
20220128;000000;37188.3700000;38023.7400000;36162.4800000;37741.9000000;22709
20220129;000000;37741.9000000;38748.4300000;37300.0000000;38191.1000000;13122
20220130;000000;38189.8200000;38384.0700000;37365.3100000;37901.3500000;10622
20220131;000000;37904.9900000;38785.0400000;36640.9400000;38491.9300000;19668
20220201;000000;38492.5300000;39300.0000000;38021.5300000;38716.8800000;16364
20220202;000000;38714.2700000;38888.8800000;36584.2900000;36923.3900000;13813
20220203;000000;36923.3900000;37450.7500000;36259.0100000;37329.9100000;13284
20220204;000000;37324.6100000;41788.8100000;37051.3600000;41614.6400000;22531
20220205;000000;41613.7500000;41970.0000000;40955.4000000;41404.8500000;11184
20220206;000000;41411.5900000;42719.9300000;41135.3900000;42415.1600000;6430
20220207;000000;42416.0600000;44533.0000000;41678.7900000;43868.0700000;20042
20220208;000000;43868.0800000;45519.2400000;42688.0000000;44085.5900000;20368
20220209;000000;44087.5800000;44865.4600000;43155.5000000;44416.3500000;12794
20220210;000000;44416.3900000;45855.0000000;43210.0000000;43527.7100000;20020
20220211;000000;43521.8800000;43962.1300000;42000.0000000;42386.4700000;19385
20220212;000000;42386.4700000;43050.0000000;41750.0000000;42244.9700000;8643
20220213;000000;42244.9100000;42781.9600000;41885.6100000;42074.9900000;6228
20220214;000000;42073.3700000;42876.1500000;41570.0000000;42548.7100000;14795
20220215;000000;42548.7100000;44775.9600000;42433.2800000;44583.5200000;14147
20220216;000000;44580.7300000;44585.6900000;43330.5900000;43895.5600000;9661
20220217;000000;43895.5500000;44195.6200000;40099.9900000;40536.7300000;18631
20220218;000000;40537.9400000;40990.9000000;39425.0700000;39983.5600000;16486
20220219;000000;39993.6400000;40469.8200000;39655.0000000;40101.9400000;6277
20220220;000000;40101.9300000;40146.0700000;38000.0000000;38389.0300000;10974
20220221;000000;38395.9900000;39506.9100000;36811.0000000;37023.0000000;20993
20220222;000000;37022.1100000;38469.0600000;36350.0000000;38251.4800000;22769
20220223;000000;38251.6700000;39276.8500000;37055.0000000;37268.1900000;15500
20220224;000000;37268.1800000;39720.0000000;34322.0000000;38347.3000000;42131
20220225;000000;38347.3000000;39716.0000000;38016.4400000;39238.4800000;20744
20220226;000000;39242.7100000;40300.5000000;38592.0400000;39137.8000000;8595
20220227;000000;39146.9700000;39875.7100000;37020.0000000;37717.0800000;14437
20220228;000000;37716.5700000;44240.7700000;37455.7100000;43192.6600000;25686
20220301;000000;43189.6100000;44993.1200000;42850.0000000;44439.9500000;22594
20220302;000000;44440.0000000;45426.4500000;43342.1600000;43912.3400000;17461
20220303;000000;43916.4700000;44096.4500000;41811.0000000;42464.4100000;19277
20220304;000000;42464.4100000;42524.8700000;38577.0100000;39166.5100000;24088
20220305;000000;39166.5000000;39600.0000000;38587.2700000;39402.4300000;8443
20220306;000000;39407.8700000;39730.5000000;38091.0200000;38408.3800000;10126
20220307;000000;38406.8200000;39556.5800000;37161.8800000;37994.0000000;19554
20220308;000000;37991.0500000;39376.6500000;37851.5400000;38749.3800000;19129
20220309;000000;38749.1600000;42597.8400000;38655.9800000;41953.9700000;24655
20220310;000000;41949.2800000;42053.8400000;38560.8500000;39433.7100000;20811
20220311;000000;39431.4000000;40251.5100000;38234.0800000;38732.0400000;15917
20220312;000000;38732.3300000;39472.1700000;38654.0200000;38813.0200000;5629
20220313;000000;38815.5600000;39318.1900000;37580.8600000;37793.0100000;8031
20220314;000000;37793.4000000;39906.3900000;37560.4000000;39674.1700000;13558
20220315;000000;39678.5100000;39900.0000000;38135.0000000;39298.1000000;14918
20220316;000000;39298.1100000;41717.6700000;38850.0000000;41127.9700000;22781
20220317;000000;41127.9600000;41486.0000000;40521.0000000;40950.3300000;15731
20220318;000000;40950.2300000;42396.0400000;40130.0000000;41774.9800000;17174
20220319;000000;41781.3700000;42429.0000000;41534.8900000;42232.2600000;8638
20220320;000000;42232.0500000;42330.1000000;40918.7200000;41287.2400000;7631
20220321;000000;41287.2400000;41578.3300000;40509.0000000;41017.7100000;10980
20220322;000000;41017.7000000;43389.7900000;40885.1900000;42378.2600000;19932
20220323;000000;42376.0300000;43036.9500000;41766.7900000;42899.7100000;13746
20220324;000000;42899.7100000;44241.0000000;42627.4800000;44012.2900000;21836
20220325;000000;44012.3600000;45130.9100000;43605.8000000;44331.8500000;19136
20220326;000000;44336.1900000;44820.5800000;44091.0900000;44539.4200000;7322
20220327;000000;44538.2100000;46950.0000000;44437.2200000;46850.0100000;10347
20220328;000000;46850.0100000;48240.0000000;46662.2800000;47144.9200000;18777
20220329;000000;47146.9200000;48124.9400000;46589.0000000;47454.1900000;15777
20220330;000000;47448.4100000;47717.0100000;46544.8900000;47078.0300000;12688
20220331;000000;47078.0200000;47624.0900000;45211.0000000;45528.4500000;17474
20220401;000000;45525.2500000;46739.2400000;44232.8600000;46296.3400000;18117
